Condition,Biomarker,Molecular_Type,Sensitivity_Range,Specificity_Range,AUC_Range,Analytical_Methods,Biomaterial,Clinical_Application
Kearns-Sayre syndrome (KSS),GDF-15,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),microRNAs,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,and circulating cell-free mtDNA.,dna,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,Fibroblast Growth Factor 21 (FGF-21) and Growth Differentiation Factor 15 (GDF-15) are promising protein biomarkers. Other general mitochondrial biomarkers include lactate,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,pyruvate,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,lactate:pyruvate ratio,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,creatine kinase,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,creatine,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,amino acid profiles,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,glutathione,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,malondialdehyde,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,gelsolin,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease,neurofilament light-chain,other,0.71; 0.83,0.88; 0.92,Not reported,ELISA,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).","Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests."
Alpers disease,Elevated cerebrospinal fluid (CSF) neopterin,protein,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,metabolite); increased serum and CSF folate receptor blocking autoantibodies .,protein,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,interleukin-6 (IL-6,other,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,protein),other,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,interleukin-8 (IL-8,other,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,protein),other,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,interferon-gamma (IFN-gamma,other,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Alpers disease,protein); reduced CSF 5-methyltetrahydrofolate (5MTHF,other,Not reported,Not reported,Not reported,ELISA; Chromatography,Cerebrospinal fluid (CSF) and serum.,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness)."
Barth Syndrome,Monolysocardiolipin (MLCL) and Cardiolipin (CL),other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,specifically the MLCL:CL ratio. Molecular type: Lipids. Plasma amino acids (decreased plasma arginine levels),other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,plasma 3-methylglutaconic acid,other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,cholesterol,other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,cholesterol synthetic intermediates,other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,red blood cell membrane fatty acid profiles. Molecular types: Amino acids,other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,metabolites,other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,lipids. Cardiolipin (CL) and Monolysocardiolipin (MLCL),other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Barth Syndrome,specifically the MLCL/CL ratio. Molecular type: Lipids (phospholipids).,other,Not reported,Not reported,Not reported,LC-MS; Chromatography,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.","Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials."
Neuropathy Ataxia Retinitis Pigmentosa (NARP),FGF21,protein,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Neuropathy Ataxia Retinitis Pigmentosa (NARP),GDF-15,protein,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Neuropathy Ataxia Retinitis Pigmentosa (NARP),Creatine,metabolite,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Neuropathy Ataxia Retinitis Pigmentosa (NARP),Alanine,metabolite,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Neuropathy Ataxia Retinitis Pigmentosa (NARP),Lactic Acid,metabolite,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Neuropathy Ataxia Retinitis Pigmentosa (NARP),Citrulline,metabolite,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Neuropathy Ataxia Retinitis Pigmentosa (NARP),ccf-mtDNA (cell-free mitochondrial DNA),dna,Not reported,Not reported,Not reported,Not specified,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood
Pearson syndrome,Carnitine ; Fumarate ; Alanine (amino acid); Arginine (amino acid); Lactate ; 3-hydroxybutyrate ; Lactate:Pyruvate ratio ; Citrulline (amino acid); 3-methylglutaconic acid ; Malic acid,metabolite,34.6-88.2%; 11.5-82.4%; 76.5%; 88.2%,81.2-87.2%; 68.7-100%; 90.6%; 100%,Not reported,PCR,Bone marrow; Urinary epithelial cells; CSF; Buccal swabs; Urine; Serum; Blood; Peripheral blood,"Monitoring (mtDNA proportion changes with hematological recovery/disease progression); Diagnostic (SLSMDs detection, metabolite pattern for differential diagnosis)"
Maternally Inherited Diabetes and Deafness (MIDD),Glucose,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),galactose,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),mannose,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),sorbose,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),maltose (carbohydrates); 2-Hydroxybutyric acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),eicosapentaenoic acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),octadecanoic acid (fatty acids); alanine,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),threonic acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),cholesterol,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),lactic acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),gluconic acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),threonine,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),tryptophan,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),histidine,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),proline,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),glutamine,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),creatine,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),citrulline,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),3-Amino-2-piperidone,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),ornithine,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),arachidonic acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),malic acid,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Maternally Inherited Diabetes and Deafness (MIDD),succinic acid (other metabolites/amino acids).,other,Not reported,Not reported,Not reported,Chromatography,Serum,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial."
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),Circulating microRNAs (miRNAs). Specifically,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),five plasma miRNAs (miR-192-5p,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),miR-193a-5p,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),miR-194-5p,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),miR-215-5p,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),and miR-34a-5p) and three serum miRNAs (miR-192-5p,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),miR-194-5p,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE),and miR-34a-5p) were identified.,other,Not reported,Not reported,Not reported,PCR; qPCR,Plasma and serum samples.,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.
Friedreich ataxia mitochondrial disease,Cardiac Biomarkers: LVMI,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,LVEF,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,IVS,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,LVPW,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,FS,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
