biomarker_id,biomarker_name,molecular_class,biomaterial,analytical_method,sensitivity_percent,specificity_percent,disease_specificity,age_group_performance,data_source,clinical_application,sensitivity_range,specificity_range,auc_range,condition
B083,lactate,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B084,pyruvate,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B085,FGF-21,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B086,GDF-15),other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B087,DNA markers (e.g.,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B088,mitochondrial DNA mutations,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B089,mitochondrial DNA deletions).,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B090,Increased tau protein,protein,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B091,Low 5-methyltetrahydrofolate (5-MTHF),metabolite,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B092,Increased free sialic acid,metabolite,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B093,Increased sphingomyelin C16:0 (d18:1/C16:0),lipid,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B094,Lactate,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B095,Pyruvate,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B096,Creatine-Kinase,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B097,Amino Acids,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B098,Organic Acids,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B099,Carnitines,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B100,Oxidative Stress Parameters,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B101,FGF-21,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B102,GDF-15,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B103,microRNAs,other,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva",Chromatography,,,,,original_analysis,"Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression",Not reported,Not reported,Not reported,Kearns-Sayre syndrome (KSS)
B104,and circulating cell-free mtDNA.,dna,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B105,Fibroblast Growth Factor 21 (FGF-21) and Growth Differentiation Factor 15 (GDF-15) are promising protein biomarkers. Other general mitochondrial biomarkers include lactate,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B106,pyruvate,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B107,lactate:pyruvate ratio,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B108,creatine kinase,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B109,creatine,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B110,amino acid profiles,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B111,glutathione,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B112,malondialdehyde,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B113,gelsolin,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B114,neurofilament light-chain,other,"Blood, Plasma, Serum, Cerebrospinal Fluid (CSF), Urine, Saliva, Hair follicles (for genetic testing).",ELISA,,,,,original_analysis,"Diagnosis, screening, and monitoring of mitochondrial diseases, particularly CPEO. FGF-21 and GDF-15 aid in decision-making and can precede more invasive diagnostic tests.",0.71; 0.83,0.88; 0.92,Not reported,Chronic Progressive External Ophthalmoplegia (CPEO) mitochondrial disease
B115,Elevated cerebrospinal fluid (CSF) neopterin,protein,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B116,metabolite); increased serum and CSF folate receptor blocking autoantibodies .,protein,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B117,interleukin-6 (IL-6,other,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B118,protein),other,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B119,interleukin-8 (IL-8,other,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B120,protein),other,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B121,interferon-gamma (IFN-gamma,other,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B122,protein); reduced CSF 5-methyltetrahydrofolate (5MTHF,other,Cerebrospinal fluid (CSF) and serum.,ELISA; Chromatography,,,,,original_analysis,"Potential for diagnosis, monitoring disease progression, and guiding treatment (e.g., tracking changes in biomarker levels and evaluating treatment effectiveness).",Not reported,Not reported,Not reported,Alpers disease
B123,Monolysocardiolipin (MLCL) and Cardiolipin (CL),other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B124,specifically the MLCL:CL ratio. Molecular type: Lipids. Plasma amino acids (decreased plasma arginine levels),other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B125,plasma 3-methylglutaconic acid,other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B126,cholesterol,other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B127,cholesterol synthetic intermediates,other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B128,red blood cell membrane fatty acid profiles. Molecular types: Amino acids,other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B129,metabolites,other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B130,lipids. Cardiolipin (CL) and Monolysocardiolipin (MLCL),other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B131,specifically the MLCL/CL ratio. Molecular type: Lipids (phospholipids).,other,"Blood spots, lymphocytes. Plasma, red blood cell membrane. Primarily localized within the inner mitochondrial membrane (tissue sections), but article discusses analysis in various model systems.",LC-MS; Chromatography,,,,,original_analysis,"Definitive diagnostic tool for Barth syndrome, especially for clinicians and geneticists working with inborn errors of metabolism. Potential biomarker for monitoring health over time. Augments and expands biochemical profiles, provides insight into possible underlying biochemical pathology. CL measurement is valuable for investigating mitochondrial dysfunction, characterizing pathophysiological mechanisms, and clinical diagnostics. MLCL/CL ratio is a sensitive diagnostic marker. CL has potential as a tissue-specific biomarker and for monitoring disease progression and efficacy during clinical trials.",Not reported,Not reported,Not reported,Barth Syndrome
B132,FGF21,protein,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B133,GDF-15,protein,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B134,Creatine,metabolite,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B135,Alanine,metabolite,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B136,Lactic Acid,metabolite,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B137,Citrulline,metabolite,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B138,ccf-mtDNA (cell-free mitochondrial DNA),dna,"Plasma, Serum, Cerebrospinal fluid (CSF), Blood",Not specified,,,,,original_analysis,Diagnostic: Identifying NARP through genetic testing and biochemical markers; Monitoring: Tracking disease progression and response to supportive treatments; Prognostic: Mutation load of mtDNA can indicate clinical severity; Screening: Early identification in childhood,Not reported,Not reported,Not reported,Neuropathy Ataxia Retinitis Pigmentosa (NARP)
B139,Carnitine ; Fumarate ; Alanine (amino acid); Arginine (amino acid); Lactate ; 3-hydroxybutyrate ; Lactate:Pyruvate ratio ; Citrulline (amino acid); 3-methylglutaconic acid ; Malic acid,metabolite,Bone marrow; Urinary epithelial cells; CSF; Buccal swabs; Urine; Serum; Blood; Peripheral blood,PCR,,,,,original_analysis,"Monitoring (mtDNA proportion changes with hematological recovery/disease progression); Diagnostic (SLSMDs detection, metabolite pattern for differential diagnosis)",34.6-88.2%; 11.5-82.4%; 76.5%; 88.2%,81.2-87.2%; 68.7-100%; 90.6%; 100%,Not reported,Pearson syndrome
B140,Glucose,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B141,galactose,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B142,mannose,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B143,sorbose,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B144,maltose (carbohydrates); 2-Hydroxybutyric acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B145,eicosapentaenoic acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B146,octadecanoic acid (fatty acids); alanine,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B147,threonic acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B148,cholesterol,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
